Course,Course URL,Details
Intermediate Python,https://learn.datacamp.com/courses/intermediate-python,Level up your data science skills by creating visualizations using Matplotlib and manipulating DataFrames with pandas.
Supervised Learning with scikit-learn,https://learn.datacamp.com/courses/supervised-learning-with-scikit-learn,Learn how to build and tune predictive models and evaluate how well they'll perform on unseen data.
Introduction to Natural Language Processing in Python,https://learn.datacamp.com/courses/introduction-to-natural-language-processing-in-python,Learn fundamental natural language processing techniques using Python and how to apply them to extract insights from ...
Time Series Analysis in Python,https://learn.datacamp.com/courses/time-series-analysis-in-python,In this course you'll learn the basics of analyzing time series data.
Machine Learning for Time Series Data in Python,https://learn.datacamp.com/courses/machine-learning-for-time-series-data-in-python,This course focuses on feature engineering and machine learning for time series data.
Advanced NLP with spaCy,https://learn.datacamp.com/courses/advanced-nlp-with-spacy,"Learn how to use spaCy to build advanced natural language understanding systems, using both rule-based and machine le..."
Object-Oriented Programming in Python,https://learn.datacamp.com/courses/object-oriented-programming-in-python,"Learn the fundamentals of object-oriented programming: classes, objects, methods, inheritance, polymorphism, and others!"
Introduction to Data Visualization with Seaborn,https://learn.datacamp.com/courses/introduction-to-data-visualization-with-seaborn,Learn how to create informative and attractive visualizations in Python using the Seaborn library.
Introduction to Deep Learning with PyTorch,https://learn.datacamp.com/courses/introduction-to-deep-learning-with-pytorch,Learn to create deep learning models with the PyTorch library.
Introduction to Databases in Python,https://learn.datacamp.com/courses/introduction-to-relational-databases-in-python,"In this course, you'll learn the basics of relational databases and how to interact with them."
Interactive Data Visualization with Bokeh,https://learn.datacamp.com/courses/interactive-data-visualization-with-bokeh,Learn how to create versatile and interactive data visualizations using Bokeh.
Python Data Science Toolbox (Part 2),https://learn.datacamp.com/courses/python-data-science-toolbox-part-2,Continue to build your modern Data Science skills by learning about iterators and list comprehensions.
Python Data Science Toolbox (Part 1),https://learn.datacamp.com/courses/python-data-science-toolbox-part-1,"Learn the art of writing your own functions in Python, as well as key concepts like scoping and error handling."
Statistical Thinking in Python (Part 1),https://learn.datacamp.com/courses/statistical-thinking-in-python-part-1,Build the foundation you need to think statistically and to speak the language of your data.
Statistical Thinking in Python (Part 2),https://learn.datacamp.com/courses/statistical-thinking-in-python-part-2,Learn to perform the two key tasks in statistical inference: parameter estimation and hypothesis testing.
Intermediate Importing Data in Python,https://learn.datacamp.com/courses/intermediate-importing-data-in-python,Improve your Python data importing skills and learn to work with web and API data.
Introduction to Importing Data in Python,https://learn.datacamp.com/courses/introduction-to-importing-data-in-python,"Learn to import data into Python from various sources, such as Excel, SQL, SAS and right from the web."
pandas Foundations,https://learn.datacamp.com/courses/pandas-foundations,"Learn how to use the industry-standard pandas library to import, build, and manipulate DataFrames."
Manipulating DataFrames with pandas,https://learn.datacamp.com/courses/manipulating-dataframes-with-pandas,"You will learn how to tidy, rearrange, and restructure your data using versatile pandas DataFrames."
Merging DataFrames with pandas,https://learn.datacamp.com/courses/merging-dataframes-with-pandas,"This course is all about the act of combining, or merging, DataFrames, an essential part your Data Scientist's toolbox."
Introduction to Data Visualization in Python,https://learn.datacamp.com/courses/introduction-to-data-visualization-in-python,Learn complex data visualization techniques using Matplotlib and seaborn.
Introduction to Network Analysis in Python,https://learn.datacamp.com/courses/introduction-to-network-analysis-in-python,"This course will equip you with the skills to analyze, visualize, and make sense of networks using the NetworkX library."
Introduction to Deep Learning in Python,https://learn.datacamp.com/courses/introduction-to-deep-learning-in-python,Learn the fundamentals of neural networks and how to build deep learning models using Keras 2.0.
Cleaning Data in Python,https://learn.datacamp.com/courses/cleaning-data-in-python,This course will equip you with all the skills you need to clean your data in Python.
Unsupervised Learning in Python,https://learn.datacamp.com/courses/unsupervised-learning-in-python,"Learn how to cluster, transform, visualize, and extract insights from unlabeled datasets using scikit-learn and scipy."
Case Study: School Budgeting with Machine Learning i...,https://learn.datacamp.com/courses/case-study-school-budgeting-with-machine-learning-in-python,Learn how to build a model to automatically classify items in a school budget.
Data Types for Data Science in Python,https://learn.datacamp.com/courses/data-types-for-data-science-in-python,"Consolidate and extend your knowledge of Python data types such as lists, dictionaries, and tuples, leveraging them t..."
Intermediate Network Analysis in Python,https://learn.datacamp.com/courses/intermediate-network-analysis-in-python,"Analyze time series graphs, use bipartite graphs, and gain the skills to tackle advanced problems in network analytics."
Building Chatbots in Python,https://learn.datacamp.com/courses/building-chatbots-in-python,Learn the fundamentals of how to build conversational bots using rule-based systems as well as machine learning.
Extreme Gradient Boosting with XGBoost,https://learn.datacamp.com/courses/extreme-gradient-boosting-with-xgboost,Learn the fundamentals of gradient boosting and build state-of-the-art machine learning models using XGBoost to solve...
Importing and Managing Financial Data in Python,https://learn.datacamp.com/courses/importing-and-managing-financial-data-in-python,"In this course, you'll learn how to import and manage financial data in Python using various tools and sources."
Manipulating Time Series Data in Python,https://learn.datacamp.com/courses/manipulating-time-series-data-in-python,In this course you'll learn the basics of working with time series data.
Parallel Programming with Dask in Python,https://learn.datacamp.com/courses/parallel-programming-with-dask-in-python,Learn how to take the Python workflows you currently have and easily scale them up to large datasets without the need...
Introduction to PySpark,https://learn.datacamp.com/courses/introduction-to-pyspark,Learn to implement distributed data management and machine learning in Spark using the PySpark package.
Case Studies in Statistical Thinking,https://learn.datacamp.com/courses/case-studies-in-statistical-thinking,Take vital steps towards mastery as you apply your statistical thinking skills to real-world data sets and extract ac...
Visualizing Time Series Data in Python,https://learn.datacamp.com/courses/visualizing-time-series-data-in-python,"Visualize seasonality, trends and other patterns in your time series data."
Python for R Users,https://learn.datacamp.com/courses/python-for-r-users,This course is for R users who want to get up to speed with Python!
Introduction to Financial Concepts in Python,https://learn.datacamp.com/courses/introduction-to-financial-concepts-in-python,"Using Python and NumPy, learn the most fundamental financial concepts."
Introduction to Portfolio Risk Management in Python,https://learn.datacamp.com/courses/introduction-to-portfolio-risk-management-in-python,"Evaluate portfolio risk and returns, construct market-cap weighted equity portfolios and learn how to forecast and he..."
Introduction to Linear Modeling in Python,https://learn.datacamp.com/courses/introduction-to-linear-modeling-in-python,"Explore the concepts and applications of linear models with python and build models to describe, predict, and extract..."
Introduction to MongoDB in Python,https://learn.datacamp.com/courses/introduction-to-using-mongodb-for-data-science-with-python,Learn to manipulate and analyze flexibly structured data with MongoDB.
Customer Analytics and A/B Testing in Python,https://learn.datacamp.com/courses/customer-analytics-and-ab-testing-in-python,"Learn how to use Python to create, run, and analyze A/B tests to make proactive business decisions."
Linear Classifiers in Python,https://learn.datacamp.com/courses/linear-classifiers-in-python,In this course you will learn the details of linear classifiers like logistic regression and SVM.
Human Resources Analytics: Predicting Employee Churn...,https://learn.datacamp.com/courses/human-resources-analytics-predicting-employee-churn-in-python,In this course you'll learn how to apply machine learning in the HR domain.
Feature Engineering with PySpark,https://learn.datacamp.com/courses/feature-engineering-with-pyspark,Learn the gritty details that data scientists are spending 70-80% of their time on; data wrangling and feature engine...
Machine Learning with Tree-Based Models in Python,https://learn.datacamp.com/courses/machine-learning-with-tree-based-models-in-python,"In this course, you'll learn how to use tree-based models and ensembles for regression and classification using sciki..."
Marketing Analytics: Predicting Customer Churn in Py...,https://learn.datacamp.com/courses/marketing-analytics-predicting-customer-churn-in-python,Learn how to use Python to analyze customer churn and build a model to predict it.
Introduction to Predictive Analytics in Python,https://learn.datacamp.com/courses/introduction-to-predictive-analytics-in-python,In this course you'll learn to use and present logistic regression models for making predictions.
Advanced Deep Learning with Keras,https://learn.datacamp.com/courses/advanced-deep-learning-with-keras,Build multiple-input and multiple-output deep learning models using Keras.
Preprocessing for Machine Learning in Python,https://learn.datacamp.com/courses/preprocessing-for-machine-learning-in-python,In this course you'll learn how to get your cleaned data ready for modeling.
Machine Learning for Finance in Python,https://learn.datacamp.com/courses/machine-learning-for-finance-in-python,"Learn to model and predict stock data values using linear models, decision trees, random forests, and neural networks."
Introduction to Python for Finance,https://learn.datacamp.com/courses/introduction-to-python-for-finance,This course introduces Python for financial analysis.
Analyzing Police Activity with pandas,https://learn.datacamp.com/courses/analyzing-police-activity-with-pandas,Explore the Stanford Open Policing Project dataset and analyze the impact of gender on police behavior using pandas.
Intermediate Data Visualization with Seaborn,https://learn.datacamp.com/courses/intermediate-data-visualization-with-seaborn,"Use Seaborn's sophisticated visualization tools to make beautiful, informative visualizations with ease."
Statistical Simulation in Python,https://learn.datacamp.com/courses/statistical-simulation-in-python,Learn to solve increasingly complex problems using simulations to generate and analyze data.
Financial Forecasting in Python,https://learn.datacamp.com/courses/financial-forecasting-in-python,Step into the role of CFO and learn how to advise a board of directors on key metrics while building a financial fore...
Python for MATLAB Users,https://learn.datacamp.com/courses/python-for-matlab-users,"Transition from MATLAB by learning some fundamental Python concepts, and diving into the NumPy and Matplotlib packages."
Visualizing Geospatial Data in Python,https://learn.datacamp.com/courses/visualizing-geospatial-data-in-python,Learn how to make attractive visualizations of geospatial data in Python using the geopandas package and folium maps.
Biomedical Image Analysis in Python,https://learn.datacamp.com/courses/biomedical-image-analysis-in-python,"Learn the fundamentals of exploring, manipulating, and measuring biomedical image data."
Building Recommendation Engines with PySpark,https://learn.datacamp.com/courses/recommendation-engines-in-pyspark,Learn tools and techniques to leverage your own big data to facilitate positive experiences for your users.
Web Scraping in Python,https://learn.datacamp.com/courses/web-scraping-with-python,Learn to retrieve and parse information from the internet using the Python library scrapy.
Working with Geospatial Data in Python,https://learn.datacamp.com/courses/working-with-geospatial-data-in-python,This course will show you how to integrate spatial data into your Python Data Science workflow.
Image Processing with Keras in Python,https://learn.datacamp.com/courses/image-processing-with-keras-in-python,Learn powerful techniques for image analysis in Python using deep learning and convolutional neural networks in Keras.
Supply Chain Analytics in Python,https://learn.datacamp.com/courses/supply-chain-analytics-in-python,Leverage the power of Python and PuLP to optimize supply chains.
Analyzing Social Media Data in Python,https://learn.datacamp.com/courses/analyzing-social-media-data-in-python,"In this course, you'll learn how to collect Twitter data and analyze Twitter text, networks, and geographical origin."
Fraud Detection in Python,https://learn.datacamp.com/courses/fraud-detection-in-python,Learn how to detect fraud using Python.
Customer Segmentation in Python,https://learn.datacamp.com/courses/customer-segmentation-in-python,Learn how to segment customers in Python.
Intermediate Predictive Analytics in Python,https://learn.datacamp.com/courses/intermediate-predictive-analytics-in-python,Learn how to prepare and organize your data for predictive analytics.
Analyzing US Census Data in Python,https://learn.datacamp.com/courses/analyzing-us-census-data-in-python,Learn to use the Census API to work with demographic and socioeconomic data.
Big Data Fundamentals with PySpark,https://learn.datacamp.com/courses/big-data-fundamentals-with-pyspark,Learn the fundamentals of working with big data with PySpark.
Dimensionality Reduction in Python,https://learn.datacamp.com/courses/dimensionality-reduction-in-python,Learn to reduce dimensionality in Python.
Working with Dates and Times in Python,https://learn.datacamp.com/courses/working-with-dates-and-times-in-python,Learn how to work with dates and times in Python.
Designing Machine Learning Workflows in Python,https://learn.datacamp.com/courses/designing-machine-learning-workflows-in-python,Learn to build pipelines that stand the test of time.
Software Engineering for Data Scientists in Python,https://learn.datacamp.com/courses/software-engineering-for-data-scientists-in-python,"Learn all about modularity, documentation, &amp; automated testing to help you solve Data Science problems quicker an..."
Writing Efficient Python Code,https://learn.datacamp.com/courses/writing-efficient-python-code,Learn to write efficient code that executes quickly and allocates resources skillfully to avoid unnecessary overhead.
